epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,1324.29,1.77924,1.61362,2.23798,1.49146,0.23292,0.31034,0.19135,0.07447,0.28626,0.35714,0.25158,0.08206,1.92219,1.6357,2.20195,1.60788,9.0694e-05,9.0694e-05,9.0694e-05
49,1351.67,1.7809,1.65907,2.26052,1.48822,0.24728,0.32527,0.20098,0.07981,0.29103,0.35468,0.25373,0.08476,1.91444,1.63572,2.18478,1.61533,9.0496e-05,9.0496e-05,9.0496e-05
50,1379.3,1.73372,1.6236,2.22506,1.47915,0.27596,0.33498,0.20124,0.08122,0.32654,0.34276,0.26097,0.08632,1.91088,1.62144,2.17539,1.60645,9.0298e-05,9.0298e-05,9.0298e-05
51,1406.91,1.73227,1.58927,2.2436,1.47949,0.25106,0.36207,0.19803,0.07964,0.31405,0.36207,0.27048,0.08746,1.91621,1.61906,2.15311,1.60795,9.01e-05,9.01e-05,9.01e-05
52,1434.47,1.7424,1.60568,2.17338,1.47035,0.24376,0.3399,0.20255,0.08012,0.30323,0.35714,0.27185,0.08733,1.90824,1.61265,2.15303,1.59685,8.9902e-05,8.9902e-05,8.9902e-05
53,1462.08,1.73643,1.60263,2.18664,1.46123,0.25611,0.34005,0.21118,0.08205,0.30585,0.35961,0.28693,0.09064,1.8886,1.60088,2.13661,1.57902,8.9704e-05,8.9704e-05,8.9704e-05
54,1489.8,1.73081,1.58045,2.14005,1.4384,0.26909,0.34483,0.21454,0.08538,0.31545,0.367,0.28379,0.09328,1.90652,1.59599,2.13415,1.57902,8.9506e-05,8.9506e-05,8.9506e-05
55,1517.41,1.74983,1.63773,2.1885,1.45152,0.26061,0.34236,0.22471,0.08945,0.28873,0.37931,0.28129,0.09466,1.89238,1.59174,2.11648,1.56695,8.9308e-05,8.9308e-05,8.9308e-05
56,1545.01,1.73642,1.62351,2.14319,1.45205,0.27706,0.34975,0.22635,0.09112,0.32169,0.38916,0.29399,0.09695,1.88629,1.58721,2.10901,1.57337,8.911e-05,8.911e-05,8.911e-05
57,1572.63,1.72508,1.5864,2.16077,1.44902,0.27853,0.36453,0.22876,0.09202,0.31423,0.39163,0.29816,0.09871,1.88218,1.59224,2.09241,1.56405,8.8912e-05,8.8912e-05,8.8912e-05
58,1600.24,1.72558,1.61519,2.13269,1.4448,0.26965,0.37685,0.23724,0.09258,0.31875,0.40148,0.30351,0.10157,1.89479,1.59122,2.08024,1.57489,8.8714e-05,8.8714e-05,8.8714e-05
59,1627.97,1.70975,1.61071,2.12027,1.44186,0.27584,0.37192,0.23813,0.09495,0.32412,0.39163,0.30722,0.10248,1.88829,1.58396,2.08261,1.57979,8.8516e-05,8.8516e-05,8.8516e-05
60,1655.55,1.69407,1.5754,2.09197,1.42013,0.28124,0.38455,0.23495,0.09557,0.33675,0.43103,0.30731,0.10415,1.89118,1.57795,2.08568,1.56284,8.8318e-05,8.8318e-05,8.8318e-05
61,1683.14,1.70671,1.59193,2.08217,1.43193,0.26709,0.38177,0.23092,0.09411,0.33323,0.41626,0.31528,0.10355,1.89189,1.58252,2.09393,1.56964,8.812e-05,8.812e-05,8.812e-05
62,1710.51,1.68724,1.57786,2.0632,1.41702,0.27658,0.39901,0.23624,0.09695,0.31636,0.42365,0.31105,0.10285,1.87789,1.56692,2.07289,1.56888,8.7922e-05,8.7922e-05,8.7922e-05
63,1738.11,1.68858,1.5696,2.05544,1.41991,0.29382,0.37931,0.24824,0.10135,0.34549,0.38225,0.31876,0.10858,1.88502,1.56756,2.05271,1.56348,8.7724e-05,8.7724e-05,8.7724e-05
64,1765.76,1.65587,1.52658,2.04063,1.40611,0.28197,0.38177,0.24672,0.10131,0.34061,0.39901,0.32356,0.11079,1.86366,1.56341,2.04755,1.55265,8.7526e-05,8.7526e-05,8.7526e-05
65,1793.32,1.68313,1.57343,2.04903,1.41632,0.28229,0.35961,0.24553,0.09978,0.34591,0.39409,0.3262,0.1123,1.87487,1.55898,2.06388,1.55359,8.7328e-05,8.7328e-05,8.7328e-05
