epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,266.997,1.08153,0.83575,1.12558,1.25555,0.36388,0.51515,0.3748,0.12481,0.4501,0.55622,0.45411,0.17447,2.14684,1.0438,2.15207,2.46589,0.000770587,0.000770587,0.000770587
47,272.747,1.11084,0.85081,1.13671,1.26094,0.30462,0.44318,0.37369,0.11921,0.38988,0.625,0.54302,0.18913,2.01888,0.97508,2.21383,2.28348,0.000769201,0.000769201,0.000769201
48,278.465,1.03977,0.79372,1.07674,1.23983,0.23004,0.42376,0.32795,0.12702,0.46023,0.67896,0.54702,0.22063,2.06851,0.92169,2.09278,2.3513,0.000767814,0.000767814,0.000767814
49,284.248,1.04691,0.81334,1.04236,1.22968,0.33144,0.5,0.40707,0.09752,0.56131,0.70455,0.64893,0.21695,2.20804,0.9113,2.49425,2.44593,0.000766427,0.000766427,0.000766427
50,290.017,1.03236,0.81345,1.07346,1.2249,0.34611,0.69347,0.48605,0.12368,0.45999,0.79776,0.64138,0.2107,2.1085,0.89859,2.23853,2.39968,0.00076504,0.00076504,0.00076504
51,295.801,1.04064,0.79921,1.06737,1.2377,0.34743,0.43182,0.44671,0.12674,0.57341,0.60851,0.66721,0.22306,2.2171,0.86876,2.19799,2.3903,0.000763653,0.000763653,0.000763653
52,301.572,1.03672,0.81839,1.01245,1.23628,0.19589,0.59091,0.42444,0.10375,0.32517,0.77441,0.62966,0.16801,2.24725,1.00021,2.51654,2.59326,0.000762266,0.000762266,0.000762266
53,307.351,0.99967,0.78263,0.97792,1.21221,0.31229,0.57384,0.39992,0.10285,0.47945,0.76012,0.60726,0.18177,2.42666,0.99487,2.42001,2.7635,0.000760879,0.000760879,0.000760879
54,313.052,0.97341,0.81475,0.97722,1.18987,0.34035,0.61856,0.35875,0.13345,0.46218,0.77273,0.55816,0.17345,2.22435,1.05242,2.40861,2.51129,0.000759492,0.000759492,0.000759492
55,318.843,0.97739,0.77727,0.97173,1.19432,0.50616,0.5,0.47212,0.20285,0.64376,0.55888,0.59079,0.19493,2.20965,0.95807,2.10709,2.44289,0.000758105,0.000758105,0.000758105
56,324.942,0.98324,0.76617,0.9615,1.1893,0.35521,0.69185,0.34204,0.14177,0.458,0.76435,0.50687,0.1918,2.11634,0.97586,1.98181,2.28689,0.000756718,0.000756718,0.000756718
57,330.717,0.93492,0.7689,0.92563,1.13016,0.36117,0.53048,0.37901,0.15223,0.55995,0.625,0.53116,0.18817,2.05824,0.97958,1.97124,2.28995,0.000755331,0.000755331,0.000755331
58,336.525,0.90685,0.74244,0.87285,1.12886,0.44926,0.45455,0.43184,0.1499,0.52699,0.52273,0.55243,0.20853,2.29647,1.00263,2.17807,2.44443,0.000753944,0.000753944,0.000753944
59,342.243,0.95989,0.80388,0.89293,1.16828,0.36374,0.37014,0.38851,0.13919,0.44678,0.47727,0.51459,0.18517,2.13038,0.99681,2.32114,2.23428,0.000752557,0.000752557,0.000752557
60,347.973,0.93095,0.79477,0.88661,1.14386,0.38171,0.34871,0.33079,0.10423,0.55594,0.60221,0.53078,0.18355,2.39494,0.91095,2.11962,2.71601,0.00075117,0.00075117,0.00075117
61,353.751,0.92002,0.77351,0.92182,1.15483,0.55036,0.35227,0.37418,0.12464,0.74828,0.55976,0.67074,0.23847,2.26653,0.93645,2.32,2.44658,0.000749783,0.000749783,0.000749783
62,359.481,0.92712,0.77193,0.93836,1.15548,0.18583,0.4468,0.23548,0.08484,0.47385,0.63636,0.55273,0.16239,2.36084,0.9397,2.59925,2.52357,0.000748396,0.000748396,0.000748396
63,365.341,0.89749,0.75312,0.85075,1.11811,0.58277,0.62854,0.51237,0.18128,0.66559,0.70455,0.64041,0.21761,2.3074,0.86314,2.05139,2.529,0.000747009,0.000747009,0.000747009
64,371.261,0.91601,0.7702,0.86506,1.14957,0.41757,0.58757,0.43955,0.1569,0.54973,0.65909,0.61524,0.22425,2.11432,0.93682,2.27885,2.24264,0.000745622,0.000745622,0.000745622
65,377.097,0.92616,0.74054,0.84719,1.13229,0.42699,0.4902,0.47393,0.20003,0.4893,0.55682,0.56617,0.22634,2.07622,0.89361,2.14244,2.34841,0.000744236,0.000744236,0.000744236
66,383.298,0.87546,0.81159,0.79903,1.09748,0.40511,0.68182,0.4628,0.18803,0.476,0.77934,0.58955,0.22814,2.15676,0.86285,2.20512,2.35411,0.000742849,0.000742849,0.000742849
67,389.107,0.87853,0.76596,0.81757,1.10806,0.33878,0.56818,0.41173,0.13248,0.44091,0.70215,0.55556,0.16779,2.48427,0.96364,2.35865,2.77986,0.000741462,0.000741462,0.000741462
68,394.971,0.86832,0.75226,0.76678,1.08978,0.40069,0.46437,0.3038,0.0951,0.50988,0.59572,0.58746,0.18643,2.30843,0.87668,2.48248,2.56862,0.000740075,0.000740075,0.000740075
69,400.749,0.81137,0.74512,0.75422,1.0775,0.3864,0.5223,0.38798,0.13662,0.52514,0.53409,0.49339,0.18967,2.26588,0.90866,2.25042,2.62726,0.000738688,0.000738688,0.000738688
70,406.556,0.82796,0.74765,0.70576,1.08003,0.36139,0.40651,0.37924,0.13516,0.45442,0.57742,0.52587,0.19921,2.48198,0.95253,2.29404,2.91181,0.000737301,0.000737301,0.000737301
71,412.38,0.8551,0.72319,0.75816,1.09828,0.33904,0.46549,0.31245,0.112,0.58599,0.65064,0.605,0.19886,2.63671,1.02062,2.36212,2.99452,0.000735914,0.000735914,0.000735914
72,418.161,0.78756,0.72427,0.71631,1.06053,0.50715,0.5674,0.47111,0.13653,0.59632,0.79894,0.68479,0.19536,2.47455,1.05055,2.25872,2.88602,0.000734527,0.000734527,0.000734527
73,423.929,0.8211,0.70246,0.71451,1.06584,0.44279,0.65796,0.45688,0.14009,0.4762,0.74143,0.5609,0.1919,2.37741,0.97571,2.19651,2.60606,0.00073314,0.00073314,0.00073314
74,429.599,0.83281,0.75432,0.7044,1.07535,0.42597,0.63636,0.49557,0.15228,0.53123,0.75,0.65099,0.24481,2.45975,1.02249,2.10061,2.82168,0.000731753,0.000731753,0.000731753
75,435.444,0.82751,0.7394,0.74297,1.0696,0.43961,0.63636,0.49703,0.14813,0.55589,0.77273,0.66186,0.23266,2.48507,1.08755,2.19684,2.95036,0.000730366,0.000730366,0.000730366
76,441.313,0.83486,0.74619,0.7367,1.08221,0.26386,0.75,0.37326,0.12376,0.48645,0.61068,0.51914,0.18704,2.38957,1.01134,2.24219,2.70088,0.000728979,0.000728979,0.000728979
77,447.164,0.82139,0.74566,0.76683,1.06448,0.35694,0.375,0.37122,0.13235,0.60355,0.60227,0.53571,0.19115,2.40069,1.01477,2.49029,2.81674,0.000727592,0.000727592,0.000727592
78,452.987,0.7834,0.68725,0.70536,1.05408,0.30893,0.62282,0.37967,0.11879,0.53462,0.59243,0.53661,0.19254,2.43463,1.0508,2.48179,2.81048,0.000726205,0.000726205,0.000726205
79,458.787,0.78978,0.71377,0.69493,1.04462,0.41875,0.43825,0.30954,0.10071,0.52005,0.72727,0.50255,0.17811,2.42217,1.03023,2.38511,2.88161,0.000724818,0.000724818,0.000724818
80,464.56,0.76096,0.69927,0.68169,1.03062,0.46321,0.48864,0.35157,0.10948,0.57605,0.59118,0.51107,0.16452,2.40935,1.02224,2.45245,2.94397,0.000723431,0.000723431,0.000723431
81,470.399,0.76753,0.70142,0.65449,1.02792,0.43944,0.42045,0.29468,0.09968,0.65269,0.59947,0.50898,0.17096,2.44702,1.02312,2.28536,3.00977,0.000722044,0.000722044,0.000722044
82,476.203,0.74661,0.67975,0.66173,1.03409,0.37093,0.51131,0.36037,0.10643,0.54114,0.60227,0.48227,0.16031,2.58675,1.07774,2.37865,3.05829,0.000720657,0.000720657,0.000720657
83,481.976,0.78801,0.7511,0.68289,1.03564,0.33146,0.52273,0.39213,0.11814,0.45045,0.65909,0.50493,0.17061,2.55826,1.09876,2.33896,3.03309,0.000719271,0.000719271,0.000719271
84,487.674,0.7402,0.71047,0.6585,1.02714,0.43826,0.48589,0.45969,0.15769,0.74645,0.45205,0.61043,0.2003,2.4606,1.11428,2.15211,3.02342,0.000717884,0.000717884,0.000717884
85,493.403,0.79068,0.73319,0.70109,1.04642,0.58467,0.47076,0.46846,0.14993,0.73525,0.58921,0.64937,0.19661,2.43503,1.01149,2.1666,2.89632,0.000716497,0.000716497,0.000716497
86,499.249,0.77693,0.70966,0.73107,1.04959,0.57007,0.43182,0.35327,0.11727,0.67339,0.54545,0.44648,0.15602,2.4379,1.00202,2.10253,2.79654,0.00071511,0.00071511,0.00071511
87,505.06,0.72745,0.70767,0.70032,1.01925,0.56429,0.4182,0.37781,0.12136,0.69784,0.45455,0.46253,0.18336,2.34485,0.99326,2.15519,2.70925,0.000713723,0.000713723,0.000713723
88,510.863,0.75244,0.68708,0.66395,1.01156,0.35018,0.51892,0.38083,0.13186,0.44324,0.64773,0.5165,0.18271,2.33116,0.9916,2.38393,2.69716,0.000712336,0.000712336,0.000712336
89,516.701,0.74533,0.6792,0.67283,1.02511,0.38823,0.48742,0.33424,0.13351,0.45381,0.55363,0.47328,0.17918,2.27202,0.99111,2.26685,2.55034,0.000710949,0.000710949,0.000710949
90,522.518,0.72364,0.67204,0.66642,0.98999,0.34094,0.72727,0.4526,0.14366,0.33172,0.63252,0.54671,0.1929,2.35075,1.02205,2.27498,2.58469,0.000709562,0.000709562,0.000709562
91,528.305,0.7395,0.6744,0.70474,1.01315,0.63428,0.36364,0.41967,0.13285,0.4312,0.5074,0.53847,0.1825,2.4871,1.098,2.29561,2.75977,0.000708175,0.000708175,0.000708175
92,534.138,0.72923,0.69124,0.65662,1.01584,0.54851,0.42045,0.527,0.15995,0.36616,0.84459,0.52494,0.18619,2.46409,1.0993,2.26091,3.05375,0.000706788,0.000706788,0.000706788
93,539.878,0.73915,0.68399,0.66839,1.02057,0.56834,0.34459,0.41995,0.13343,0.60234,0.56795,0.67193,0.2084,2.60401,1.09176,2.36068,3.08655,0.000705401,0.000705401,0.000705401
94,545.63,0.71704,0.69439,0.5988,0.9988,0.74668,0.29725,0.45039,0.16889,0.62205,0.61309,0.64924,0.24242,2.583,1.10441,2.11589,3.10071,0.000704014,0.000704014,0.000704014
95,551.431,0.71441,0.69332,0.58854,0.9839,0.481,0.45104,0.45508,0.17289,0.62192,0.55859,0.57753,0.24509,2.36167,1.05992,2.20709,2.7542,0.000702627,0.000702627,0.000702627
96,557.277,0.70748,0.68157,0.618,1.00647,0.61539,0.53254,0.4857,0.18043,0.68563,0.62027,0.58995,0.24596,2.37288,0.97634,2.1571,2.66351,0.00070124,0.00070124,0.00070124
97,563.399,0.71448,0.6571,0.59664,0.9936,0.42725,0.79545,0.51467,0.18377,0.48528,0.79391,0.66894,0.26414,2.28198,0.95393,2.09838,2.60863,0.000699853,0.000699853,0.000699853
98,569.527,0.71796,0.72503,0.60443,0.98612,0.36232,0.44983,0.44823,0.16048,0.54802,0.73257,0.72635,0.24326,2.22579,0.91221,2.274,2.43124,0.000698466,0.000698466,0.000698466
99,575.295,0.68148,0.655,0.59111,0.98696,0.42576,0.64773,0.50456,0.16475,0.60966,0.59721,0.60853,0.21923,2.22226,0.92679,2.11739,2.54958,0.000697079,0.000697079,0.000697079
100,581.101,0.6824,0.6438,0.57721,0.98386,0.50613,0.39568,0.44974,0.14952,0.52529,0.53857,0.58516,0.21194,2.43527,0.9855,2.08366,2.80018,0.000695692,0.000695692,0.000695692
101,586.901,0.66266,0.65566,0.60076,0.98752,0.40526,0.49216,0.40502,0.13669,0.518,0.63265,0.54718,0.19424,2.42789,0.96985,2.79297,2.70509,0.000694305,0.000694305,0.000694305
102,592.699,0.68485,0.67676,0.60404,0.97831,0.39368,0.36364,0.3473,0.13883,0.60934,0.54545,0.57244,0.19435,2.21614,1.01486,2.3364,2.57612,0.000692919,0.000692919,0.000692919
103,598.507,0.671,0.68822,0.55284,0.9592,0.41337,0.53409,0.39475,0.15948,0.51374,0.67045,0.55878,0.22158,2.27171,0.95942,2.2059,2.73209,0.000691532,0.000691532,0.000691532
