epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,3197.91,1.51638,1.35682,1.67305,1.42306,0.36108,0.43013,0.28894,0.10534,0.40935,0.46798,0.3517,0.11167,2.02457,1.7241,2.02271,1.84426,0.00167924,0.00167924,0.00167924
83,3236.81,1.52143,1.3793,1.6392,1.40781,0.35635,0.38592,0.2936,0.1007,0.44084,0.4335,0.36638,0.11204,2.11238,1.7147,2.04922,1.88687,0.00167528,0.00167528,0.00167528
84,3275.71,1.50589,1.3546,1.59327,1.39903,0.35444,0.36106,0.27291,0.09603,0.40024,0.40394,0.32248,0.09659,2.13837,1.79297,2.07166,1.94315,0.00167132,0.00167132,0.00167132
85,3314.64,1.53354,1.38179,1.65939,1.41259,0.33807,0.39248,0.27352,0.10492,0.36364,0.41801,0.31545,0.1105,2.06366,1.74877,2.08508,1.87246,0.00166736,0.00166736,0.00166736
86,3353.6,1.51289,1.32964,1.60681,1.39213,0.36718,0.38916,0.28758,0.11049,0.43902,0.40887,0.34472,0.11299,2.09158,1.75875,2.05197,1.93169,0.0016634,0.0016634,0.0016634
87,3392.5,1.51099,1.39687,1.62526,1.40322,0.36187,0.31281,0.26898,0.10306,0.40159,0.34975,0.32016,0.10389,2.09861,1.76348,2.07813,1.90443,0.00165944,0.00165944,0.00165944
88,3431.44,1.47044,1.36141,1.60302,1.37847,0.38261,0.37438,0.30173,0.11675,0.45217,0.39901,0.35414,0.11984,2.07851,1.76511,2.0771,1.86024,0.00165548,0.00165548,0.00165548
89,3470.64,1.47464,1.33219,1.60337,1.37249,0.38891,0.28571,0.26166,0.09744,0.41762,0.34483,0.30692,0.10593,2.13721,1.76772,2.21982,1.93692,0.00165152,0.00165152,0.00165152
90,3509.5,1.50101,1.37004,1.6163,1.39742,0.39705,0.36453,0.27987,0.10635,0.41568,0.3867,0.32117,0.11229,2.13356,1.71346,2.08057,1.92446,0.00164756,0.00164756,0.00164756
91,3548.42,1.45569,1.33797,1.55488,1.37318,0.34235,0.36207,0.28439,0.10398,0.38883,0.38177,0.34316,0.10895,2.13148,1.69418,2.0986,1.92392,0.0016436,0.0016436,0.0016436
92,3587.4,1.48011,1.34967,1.57395,1.3815,0.36069,0.42611,0.29348,0.10729,0.38429,0.44335,0.33946,0.1138,2.13803,1.77103,2.01806,1.94804,0.00163964,0.00163964,0.00163964
93,3626.26,1.46969,1.37263,1.58109,1.37444,0.39985,0.39712,0.30021,0.11935,0.43598,0.48768,0.36956,0.12793,2.07443,1.71955,1.97088,1.87986,0.00163568,0.00163568,0.00163568
94,3665.46,1.44927,1.29717,1.52522,1.34725,0.38787,0.35222,0.27532,0.11026,0.46495,0.41379,0.3571,0.11887,2.08782,1.71836,2.0509,1.89763,0.00163172,0.00163172,0.00163172
95,3704.39,1.45793,1.31827,1.53217,1.35916,0.39815,0.34236,0.30613,0.11355,0.47263,0.4064,0.37251,0.12577,2.18763,1.75673,2.01649,2.00608,0.00162776,0.00162776,0.00162776
96,3743.36,1.44924,1.327,1.49392,1.35054,0.36117,0.367,0.29254,0.10829,0.41455,0.41682,0.36725,0.12098,2.12686,1.73456,2.02206,1.9454,0.0016238,0.0016238,0.0016238
97,3782.25,1.41103,1.31312,1.50022,1.35064,0.37073,0.39034,0.29512,0.1036,0.42139,0.43103,0.35304,0.11719,2.14557,1.79699,2.05515,1.97009,0.00161984,0.00161984,0.00161984
98,3821.07,1.43392,1.29799,1.47366,1.35375,0.42781,0.37192,0.32112,0.11799,0.45584,0.41379,0.36902,0.12186,2.11861,1.72069,1.99873,1.94528,0.00161588,0.00161588,0.00161588
99,3859.81,1.4194,1.3086,1.50374,1.33104,0.43328,0.35468,0.3225,0.11905,0.47719,0.40887,0.38489,0.13129,2.17374,1.73142,2.05067,2.02013,0.00161192,0.00161192,0.00161192
100,3899.06,1.41206,1.32108,1.45977,1.33761,0.34986,0.37931,0.28516,0.11035,0.37997,0.45567,0.35676,0.11945,2.1751,1.7888,2.05598,1.99981,0.00160796,0.00160796,0.00160796
