epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,672.39,0.9225,0.84575,0.86515,1.14784,0.57393,0.54463,0.54495,0.23517,0.60976,0.58311,0.59494,0.20942,1.90802,1.14004,1.60501,2.27539,0.000438751,0.000438751,0.000438751
49,686.502,0.913,0.84661,0.87249,1.1492,0.53017,0.58504,0.53236,0.24964,0.52772,0.62452,0.56964,0.18995,1.91602,1.17437,1.64126,2.27009,0.000437958,0.000437958,0.000437958
50,700.319,0.8961,0.81857,0.84418,1.13752,0.43369,0.41622,0.39352,0.19564,0.57433,0.41366,0.43289,0.15352,1.93867,1.13314,1.63463,2.25767,0.000437166,0.000437166,0.000437166
51,714.46,0.90499,0.82314,0.83544,1.1289,0.45232,0.47925,0.40457,0.18055,0.49596,0.4696,0.45084,0.17119,1.91991,1.16684,1.76098,2.23668,0.000436373,0.000436373,0.000436373
52,728.276,0.90001,0.82328,0.85789,1.13656,0.43004,0.43711,0.42825,0.23343,0.54127,0.47277,0.42158,0.16356,1.98359,1.23926,1.8149,2.34654,0.00043558,0.00043558,0.00043558
53,742.441,0.90238,0.82287,0.84639,1.12565,0.53326,0.415,0.38374,0.17357,0.62065,0.42415,0.45581,0.16263,1.97743,1.25196,1.68806,2.32569,0.000434788,0.000434788,0.000434788
54,756.237,0.90308,0.83816,0.87884,1.15115,0.41457,0.54137,0.43085,0.2269,0.60427,0.52823,0.49846,0.16354,2.06068,1.1496,1.94843,2.31868,0.000433995,0.000433995,0.000433995
55,770.453,0.87662,0.79695,0.81265,1.11266,0.42344,0.47482,0.43953,0.20765,0.47827,0.40819,0.44881,0.16072,1.99285,1.17051,1.79057,2.342,0.000433203,0.000433203,0.000433203
56,784.268,0.86533,0.82996,0.81774,1.10883,0.70016,0.4394,0.47397,0.20281,0.75218,0.44137,0.50936,0.17977,2.0031,1.15306,1.66592,2.37439,0.00043241,0.00043241,0.00043241
57,798.419,0.85595,0.82381,0.81231,1.10745,0.38831,0.48143,0.39959,0.18398,0.42748,0.4664,0.383,0.14515,2.09325,1.22083,1.69106,2.49364,0.000431618,0.000431618,0.000431618
58,812.233,0.85141,0.78726,0.78323,1.10786,0.59718,0.40579,0.44645,0.21877,0.63286,0.54908,0.554,0.20398,2.00198,1.11082,1.64323,2.40218,0.000430825,0.000430825,0.000430825
